Date;Outcome;Full Moves;My Rating;Opponent Rating;Rating Diff;Color;Opening;Time Class
2022-04-07 14:47:25;loss;43;943;1723;-780;white;Giuoco Piano Game 4.O O Nf6;daily
2022-05-15 20:20:05;win;30;967;923;44;black;English Opening Kings English Variation 2.g3 Nf6 3.Bg2 Bc5;daily
2022-06-05 16:03:12;loss;60;966;1703;-737;black;Four Knights Game Double Spanish Variation;daily
2022-07-11 03:54:55;loss;46;965;1704;-739;white;Italian Game;daily
2022-07-13 00:54:55;win;28;992;938;54;white;Italian Game Knight Attack Polerio Kieseritzky Variation;daily
2022-07-14 20:42:53;loss;16;991;1705;-714;black;Ruy Lopez Opening Morphy Defense Columbus Variation...6.Bb3 Bc5 7.Nc3 d6;daily
2022-07-18 23:14:07;win;10;1028;1135;-107;black;Center Game;daily
2022-07-23 17:17:02;loss;36;1027;1706;-679;white;Alapin Sicilian Defense 2...Nc6 3.Nf3 d6;daily
2022-07-27 01:16:08;loss;12;1026;1707;-681;black;Queens Gambit Declined Albin Countergambit 3.e3;daily
2022-07-27 23:28:24;win;52;1052;1046;6;white;Scandinavian Defense;daily
2022-08-04 03:36:47;win;36;1071;984;87;white;Pirc Defense Antal Defense;daily
2022-08-07 23:26:34;loss;35;1070;1690;-620;white;Caro Kann Defense Advance Variation...4.Bd3 Bxd3 5.Qxd3 e6;daily
2022-08-09 08:21:55;loss;17;1045;1036;9;black;Bishops Opening Berlin Spielmann Attack;daily
2022-08-14 22:48:05;loss;16;1044;1691;-647;black;Slav Defense 3.Nc3 Nf6 4.e3 Bf5 5.Nf3;daily
2022-08-27 22:50:03;loss;15;1043;1692;-649;white;French Defense Normal Variation 2...d5;daily
2022-09-10 22:59:07;loss;19;1042;1693;-651;black;Giuoco Piano Game 4.O O Nf6 5.Nc3 d6;daily
2022-10-12 20:48:09;loss;28;1041;1731;-690;white;Sicilian Defense Bowdler Attack 2...e6;daily
2022-10-29 00:07:33;loss;28;1040;1732;-692;black;Queens Pawn Opening Chigorin Variation 2...Nf6 3.Nf3;daily
2022-11-19 16:25:03;loss;31;1038;1682;-644;white;Italian Game Two Knights Modern Bishops Opening 4...h6 5.Nc3;daily
2022-11-27 06:17:56;loss;34;1022;1223;-201;black;Bishops Opening Berlin Defense;daily
2022-12-02 18:08:19;loss;13;1021;1683;-662;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5 7.d3;daily
2022-12-13 23:29:59;win;47;1060;1174;-114;white;Scandinavian Defense;daily
2022-12-18 04:04:22;loss;23;1058;1684;-626;white;Bishops Opening Berlin Defense;daily
2022-12-22 15:22:50;loss;11;1041;1195;-154;black;Bishops Opening Berlin Defense;daily
2023-01-04 02:30:21;loss;32;1040;1685;-645;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Nxe4;daily
2023-01-09 00:32:16;win;67;1073;1155;-82;white;Scandinavian Defense;daily
2023-01-16 11:46:10;loss;19;1056;1176;-120;black;Petrovs Defense;daily
2023-01-18 19:44:05;loss;43;1055;1686;-631;white;Bishops Opening Berlin Defense;daily
2023-01-20 19:18:56;loss;11;1049;1418;-369;black;Colle System 3...e6 4.Bd3;daily
2023-01-24 18:36:53;loss;22;1048;1687;-639;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5 7.Nc3;daily
2023-02-03 18:21:08;loss;53;1031;1125;-94;white;Scandinavian Defense Closed 2...d4;daily
2023-02-09 06:29:55;loss;27;1030;1688;-658;white;Italian Game Two Knights Modern Bishops Opening 4...h6 5.Nc3;daily
2023-02-15 21:14:43;loss;16;1029;1689;-660;black;Ruy Lopez Opening Berlin Beverwijk Variation 5.d3;daily
2023-02-22 11:21:42;loss;49;1015;1146;-131;black;Torre Attack Classical Defense Nimzowitsch Variation 4.Bxf6 Qxf6;daily
2023-02-25 01:03:37;loss;31;1014;1690;-676;white;Giuoco Piano Game Four Knights Game;daily
2023-03-04 20:05:18;loss;32;1003;1167;-164;white;Scandinavian Defense Closed 2...d4;daily
2023-03-07 00:52:10;loss;29;1002;1691;-689;black;Kings Fianchetto Opening 1...d5 2.Bg2 e5 3.d3;daily
2023-03-20 23:11:15;win;29;1029;1206;-177;black;Reti Opening Sicilian Invitation 2.e3;daily
2023-03-27 12:13:37;loss;41;1028;1729;-701;white;Scandinavian Defense Closed 2...d4;daily
2023-03-28 13:36:09;loss;24;1019;1200;-181;white;Scandinavian Defense;daily
2023-04-01 12:34:09;loss;21;1013;1297;-284;black;Queens Gambit Declined Chigorin Defense 3.Nf3 e6 4.Nc3 Nf6 5.Bg5;daily
2023-04-04 21:15:46;loss;16;1012;1730;-718;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5 7.Nc3;daily
2023-04-22 01:48:33;loss;34;1003;1176;-173;black;Queens Pawn Opening Zukertort Chigorin Variation;daily
2023-04-24 00:31:32;loss;35;1002;1731;-729;white;Queens Pawn Opening Blackmar Gambit 2...dxe4;daily
2023-05-07 02:12:48;loss;32;994;1188;-194;white;Scandinavian Defense 2.e5;daily
2023-05-09 18:21:53;loss;35;993;1709;-716;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5 7.d3;daily
2023-05-17 13:45:00;loss;53;982;1083;-101;white;Four Knights Game Italian Variation;daily
2023-05-26 17:08:16;loss;26;975;1192;-217;black;Kings Pawn Opening Leonardis Variation 2...Nf6;daily
2023-05-30 17:34:48;loss;27;975;1724;-749;white;Caro Kann Defense Advance Short Variation with 4 Nf3...e6;daily
2023-06-07 22:46:07;loss;34;975;1725;-750;black;Italian Game;daily
2023-06-08 10:36:34;loss;42;969;1196;-227;white;Scandinavian Defense Closed 2...dxe4 3.Nxe4 Bf5;daily
2023-06-08 10:42:27;win;38;989;1183;-194;black;Bishops Opening Berlin Defense;daily
2023-06-19 01:24:15;loss;53;989;1726;-737;white;Caro Kann Defense;daily
2023-06-21 20:49:50;win;36;1008;1166;-158;white;Scandinavian Defense Closed 2...dxe4 3.Nxe4;daily
2023-06-22 12:12:25;loss;13;1008;1727;-719;black;Pirc Defense Modern Defense Geller System 2...Nf6 3.Nc3 e5 4.Bc4;daily
2023-06-27 02:22:04;loss;26;1003;1257;-254;black;Queens Gambit Declined Chigorin Defense 3.Nc3 Nf6;daily
2023-06-27 17:06:28;loss;17;1003;1728;-725;white;Giuoco Piano Game Four Knights Game 5.O O;daily
2023-07-09 16:32:56;loss;33;1003;1729;-726;black;Queens Pawn Opening 1...d5 2.e3 Nf6 3.c4;daily
2023-07-13 21:05:20;loss;48;997;1200;-203;black;Bishops Opening Berlin Defense;daily
2023-07-20 02:36:03;win;15;1004;843;161;white;Kings Pawn Opening Kings Knight Variation;daily
2023-07-23 01:54:20;loss;35;1004;1732;-728;white;Giuoco Piano Game Giuoco Pianissimo Variation...5.Bg5 h6 6.Bh4 d6;daily
2023-07-24 04:45:59;win;30;1021;1194;-173;white;Nimzowitsch Defense 2.d4 e6 3.Nf3 d5 4.e5;daily
2023-07-30 17:12:03;win;12;1037;1181;-144;black;Giuoco Piano Game Giuoco Pianissimo Variation 4...Nf6;daily
2023-08-02 18:22:19;loss;27;1030;1175;-145;black;Giuoco Piano Game Main Line Giuoco Pianissimo Variation 5...h6;daily
2023-08-05 15:32:34;loss;43;1024;1176;-152;white;Italian Game 3...d6;daily
2023-08-07 22:32:43;loss;47;1024;1733;-709;black;Four Knights Game Spanish Variation Classical Variation 5.O O O O;daily
2023-08-15 18:10:16;loss;34;1024;1734;-710;white;Giuoco Piano Game Four Knights Game 5.O O;daily
2023-08-16 00:58:07;loss;48;1014;1016;-2;white;Italian Game;daily
2023-08-22 23:14:47;win;45;1028;1177;-149;white;Italian Game;daily
2023-08-25 22:28:38;loss;35;1028;1737;-709;black;Ruy Lopez Opening Morphy Defense Anderssen Variation 5...b5 6.Bb3;daily
2023-08-29 20:02:36;loss;24;1028;1740;-712;white;Philidor Defense 3.Bc4 Nf6;daily
2023-08-31 15:45:28;win;9;1033;840;193;white;Four Knights Game Italian Variation;daily
2023-08-31 19:22:01;win;21;1046;1167;-121;black;Bishops Opening Berlin Defense 3.d3;daily
2023-09-02 20:44:40;loss;51;1034;1141;-107;black;Kings Fianchetto Opening 1...e5 2.Bg2;daily
2023-09-02 20:59:53;win;29;1041;927;114;black;Queens Pawn Opening Chigorin Variation 2...Nf6 3.Bf4 e6;daily
2023-09-09 12:26:15;loss;28;1035;1230;-195;white;Modern Defense with 1 e4 2.d4 Bg7 3.Nf3;daily
2023-09-17 00:12:59;loss;21;1035;1741;-706;black;Giuoco Piano Game Four Knights Game 5.O O;daily
2023-09-19 23:44:40;loss;26;1029;1147;-118;white;French Defense Advance Variation 3...Ne7;daily
2023-09-21 12:51:07;win;29;1039;1085;-46;black;Kings Fianchetto Opening 1...e5 2.Bg2;daily
2023-10-02 17:34:07;draw;80;1034;721;313;black;Vienna Game Falkbeer Variation 3.d4;daily
2023-10-06 21:33:54;loss;35;1034;1744;-710;white;Giuoco Piano Game Giuoco Pianissimo Italian Four Knights Variation 5...h6;daily
2023-10-06 21:39:43;loss;46;1027;1084;-57;white;Scandinavian Defense 2.e5;daily
2023-10-09 14:45:35;win;38;1037;1117;-80;black;Bishops Opening Berlin Ponziani Gambit;daily
2023-10-09 18:45:59;loss;23;1024;786;238;white;Kings Pawn Opening Kings Knight Gunderam Defense 3.Bc4;daily
2023-10-14 22:37:30;win;26;1032;1025;7;black;Kings Pawn Opening 1...e5;daily
2023-10-16 18:08:05;loss;20;1032;1754;-722;black;Ruy Lopez Opening Morphy Defense Columbus Variation...6.Bb3 Bc5 7.d3 O O;daily
2023-10-18 00:14:54;win;25;1036;843;193;white;Giuoco Piano Game Giuoco Pianissimo Italian Four Knights Variation 5...O O;daily
2023-10-27 17:46:31;win;41;1038;676;362;black;Bishops Opening Berlin Defense 3.d3 Bc5;daily
2023-10-27 20:53:32;loss;39;1038;1755;-717;white;Giuoco Piano Game Giuoco Pianissimo Variation;daily
2023-10-29 16:01:33;win;30;1044;957;87;white;Modern Defense with 1 e4 2.d4 Bg7 3.Nf3;daily
2023-11-01 20:10:53;win;19;1050;931;119;black;Kings Fianchetto Opening 1...e5;daily
2023-11-04 00:29:04;win;49;1058;1097;-39;white;Scandinavian Defense Closed 2...d4;daily
2023-11-09 20:34:43;loss;53;1059;1758;-699;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5 7.d3;daily
2023-11-12 19:34:15;loss;24;1046;755;291;white;Italian Game;daily
2023-11-12 23:19:49;loss;24;1040;1091;-51;black;Bishops Opening Berlin Defense 3.d3;daily
2023-11-19 07:11:31;loss;20;1034;1085;-51;white;Scandinavian Defense Closed 2...dxe4 3.Nxe4 Bf5;daily
2023-11-20 16:45:47;loss;30;1034;1759;-725;white;Giuoco Piano Game Four Knights Game 5.O O;daily
2023-11-21 10:05:54;win;29;1036;709;327;black;Bishops Opening Berlin Defense 3.d3;daily
2023-11-22 02:04:36;loss;13;1030;1091;-61;black;Van t Kruijs Opening 1...e5;daily
2023-11-27 15:22:25;win;14;1032;699;333;white;Kings Pawn Opening Kings Knight Variation;daily
2023-11-29 16:42:59;win;24;1040;1075;-35;white;Philidor Defense 3.Bc4;daily
2023-11-30 01:01:08;win;52;1045;909;136;white;Kings Pawn Opening Kings Knight Variation;daily
2023-11-30 18:43:39;loss;30;1045;1771;-726;black;Ruy Lopez Opening Berlin Improved Steinitz Defense;daily
2023-12-05 10:48:48;loss;28;1040;1135;-95;black;Scotch Game;daily
2023-12-09 15:57:56;loss;22;1034;1082;-48;black;Nimzowitsch Defense Kennedy Variation 3.dxe5 Nxe5;daily
2023-12-11 14:51:45;loss;31;1034;1771;-737;white;Sicilian Defense Bowdler Attack 2...e6;daily
2023-12-12 17:42:15;win;43;1036;690;346;black;Vienna Game Anderssen Defense 3.Bc4 Nf6;daily
2023-12-20 20:25:28;loss;35;1032;1211;-179;white;Scandinavian Defense Closed 2...d4;daily
2023-12-20 22:38:39;loss;45;1022;948;74;black;Kings Fianchetto Opening 1...e5 2.Bg2 d5;daily
2023-12-23 02:37:49;loss;14;1022;1772;-750;black;Ruy Lopez Opening Morphy Defense Columbus Variation...6.Bb3 Bc5 7.d3 O O;daily
2023-12-26 20:28:13;loss;25;1018;1199;-181;white;Three Knights Opening 3...Bc5;daily
2023-12-28 02:04:49;win;27;1020;682;338;white;Alekhines Defense 2.Nc3;daily
2023-12-29 00:07:11;win;21;1026;927;99;white;Modern Defense Bishop Attack;daily
2023-12-31 20:33:33;loss;58;1020;1109;-89;white;Caro Kann Defense 2.d4;daily
2024-01-05 01:52:22;loss;32;1020;1772;-752;white;Giuoco Piano Game Four Knights Game 5.O O;daily
2024-01-10 22:43:56;win;48;1025;909;116;black;Kings Fianchetto Opening 1...e5 2.Bg2 d5;daily
2024-01-11 02:43:35;loss;31;1025;1772;-747;black;Ruy Lopez Opening Morphy Defense Columbus Variation...6.Bb3 Bc5 7.d3 d6;daily
2024-01-13 10:51:55;win;32;1034;1087;-53;black;Undefined;daily
2024-01-17 03:51:10;loss;18;1021;735;286;black;Kings Pawn Opening 1...e5;daily
2024-01-17 03:55:34;loss;13;1021;1773;-752;white;Giuoco Piano Game Giuoco Pianissimo Variation 4...Nf6 5.O O d6;daily
2024-01-22 18:23:22;win;31;1030;1078;-48;white;Scandinavian Defense Closed 2...d4;daily
2024-01-24 11:48:52;loss;33;1020;940;80;white;Modern Defense with 1 e4 2.d4 Bg7 3.Nf3;daily
2024-01-27 20:48:49;win;32;1023;726;297;white;Nimzowitsch Defense Declined Williams Variation;daily
2024-01-28 14:07:49;loss;35;1023;1773;-750;black;Ruy Lopez Opening Morphy Defense Caro Variation 5.Bb3;daily
2024-01-30 16:44:44;loss;32;1017;1100;-83;black;Bishops Opening Berlin Defense;daily
2024-02-01 19:28:54;loss;24;1008;966;42;black;Kings Fianchetto Opening 1...e5 2.Bg2 Nf6;daily
2024-02-03 19:43:57;loss;26;1008;1773;-765;white;Italian Game Two Knights Modern Bishops Opening 4...h6 5.Nc3;daily
2024-02-06 12:43:49;win;13;1014;948;66;white;Owens Defense 2.d4 Bb7 3.Nc3;daily
2024-02-09 15:33:54;loss;35;1009;1117;-108;white;Scandinavian Defense Closed 2...d4;daily
2024-02-16 00:50:18;loss;32;1009;1771;-762;black;Ruy Lopez Opening Morphy Defense Neo Arkhangelsk Variation;daily
2024-02-16 13:27:13;loss;24;1008;1466;-458;white;Four Knights Game Italian Variation 4...Nxe4 5.Nxe4 d5;daily
2024-02-17 16:24:48;win;34;1011;717;294;black;Kings Pawn Opening Leonardis Variation 2...Nf6;daily
2024-02-22 01:07:41;draw;53;1013;1122;-109;black;Bishops Opening Berlin Defense 3.d3;daily
2024-03-02 15:47:16;loss;19;1008;1143;-135;white;Kings Pawn Opening Kings Knight Variation;daily
2024-03-04 17:04:25;win;24;1014;922;92;black;Kings Fianchetto Opening 1...e5 2.Bg2 Nf6;daily
2024-03-04 17:19:27;loss;55;1014;1759;-745;white;Italian Game Two Knights Modern Bishops Opening 4...Be7;daily
2024-03-08 16:51:32;loss;42;1013;1477;-464;black;Scotch Game;daily
2024-03-09 12:38:17;win;28;1015;709;306;white;Italian Game;daily
2024-03-09 16:16:04;win;21;1026;1211;-185;black;Queens Pawn Opening Zukertort Chigorin Variation;daily
2024-03-11 19:13:18;loss;27;1021;1163;-142;black;Nimzowitsch Defense Kennedy Linksspringer Variation;daily
2024-03-17 16:51:53;loss;35;1020;1487;-467;white;Four Knights Game Italian Variation 4...Nxe4 5.Nxe4 d5;daily
2024-03-21 02:54:34;win;33;1030;1137;-107;white;Kings Pawn Opening Kings Knight Variation;daily
2024-03-22 01:21:00;loss;46;1030;1759;-729;black;Ruy Lopez Opening Morphy Defense Deferred Classical Defense 5.O O;daily
2024-03-22 17:18:08;win;26;1035;910;125;white;Indian Game Knights Variation East Indian Defense 3.Nc3 Bg7 4.e4;daily
2024-03-22 18:05:05;loss;34;1023;753;270;black;Nimzowitsch Defense Kennedy Variation 3.dxe5 Nxe5;daily
